Series_01_x	Series_01_y	Series_02_x	Series_02_y	Series_03_x	Series_03_y
0.310524	1.00531e-20	0.120145	1.02348e-20	0.100606	2.8813e-12
0.312627	1.70203e-19	0.138783	7.69028e-20	0.113662	2.68034e-11
0.316876	2.35434e-18	0.150823	2.45953e-19	0.148334	1.25165e-09
0.325546	1.0263e-17	0.163001	5.91714e-19	0.18518	1.16435e-08
0.32997	2.3706e-17	0.18518	1.98439e-18	0.236365	7.06659e-08
0.338998	3.55126e-17	0.210377	4.77405e-18	0.337093	2.66839e-07
0.345931	4.6049e-17	0.23768	1.12161e-17	0.411593	3.80901e-07
0.365121	5.31992e-17	0.274551	2.28543e-17	0.505354	4.28879e-07
0.393257	5.97111e-17	0.30003	3.11118e-17	0.634392	3.71971e-07
0.432224	6.702e-17	0.346572	4.65692e-17	0.805263	2.66839e-07
0.475052	7.10034e-17	0.413883	6.49169e-17	1.24806	9.85074e-08
0.515124	6.32601e-17	0.488812	7.13798e-17	1.74087	3.72387e-08
0.562358	5.47575e-17	0.567781	6.80717e-17	2.65362	9.63051e-09
0.60162	4.6049e-17	0.65586	6.04569e-17	3.80552	2.55041e-09
0.645036	5.00046e-17	0.753411	5.12054e-17	6.23449	4.10375e-10
0.689431	5.49829e-17	0.879993	3.85179e-17	10.2138	6.29715e-11
0.693265	2.07852e-17	1.11084	2.3965e-17	18.4899	6.15636e-12
0.697121	5.49829e-17	1.36389	1.35605e-17	40.4185	2.88451e-13
0.71276	3.18589e-17	1.75056	6.49895e-18	72.3618	2.82002e-14
0.745099	3.34071e-17	2.42827	2.28799e-18	99.821	7.46814e-15
0.761815	4.13597e-17	3.04832	1.0212e-18		
0.770314	6.82238e-19	3.42489	8.05504e-19		
0.774598	4.23527e-17	3.68096	7.86615e-19		
0.814246	4.03898e-17	3.89089	8.64928e-19		
0.827908	2.57331e-17	4.20507	1.12286e-18		
0.855924	3.85179e-17	4.51948	1.56526e-18		
0.919921	3.26237e-17	5.04969	2.51578e-18		
0.919921	1.42195e-17	5.80077	4.5528e-18		
0.935355	3.18589e-17	6.7379	6.65498e-18		
0.940558	1.32573e-18	8.00201	9.9614e-18		
0.95105	2.57617e-18	9.50327	1.12161e-17		
0.967008	3.94868e-18	11.6681	1.06963e-17		
0.972385	5.77195e-18	13.9342	8.84707e-18		
0.972385	1.71917e-17	16.0068	7.31753e-18		
0.977795	2.3965e-17	19.7624	4.66213e-18		
1.02216	2.69836e-17	24.2643	2.97031e-18		
1.09251	2.23185e-17	31.3166	1.45772e-18		
1.12323	1.63949e-17	38.0263	7.68173e-19		
1.12323	7.67314e-18	50.1794	3.04502e-19		
1.12948	4.3418e-18	64.7638	1.26571e-19		
1.13576	1.68073e-18	79.517	5.92373e-20		
1.13576	5.91714e-19	92.8768	3.35191e-20		
1.14843	2.97363e-19	100.935	2.58194e-20		
1.16124	3.11466e-18				
1.17419	7.4932e-18				
1.18729	9.9614e-18				
1.20721	1.17612e-17				
1.25501	1.38861e-17				
1.29747	9.27702e-18				
1.32658	6.34655e-18				
1.34884	2.03205e-18				
1.35634	5.13198e-19				
1.36389	1.04806e-20				
1.41788	1.02348e-20				
1.4337	1.2961e-19				
1.45775	2.51859e-19				
1.47402	6.50623e-19				
1.49046	1.49272e-18				
1.51547	4.3418e-18				
1.53237	6.97839e-18				
1.61976	6.05242e-18				
1.70268	6.19776e-18				
1.76029	4.5528e-18				
1.79978	3.26602e-18				
1.80979	9.97255e-19				
1.80979	1.72301e-19				
1.84016	1.02348e-20				
1.81986	2.13318e-19				
1.94511	1.64316e-19				
1.96681	1.645e-20				
1.98875	3.68562e-20				
2.02211	1.72301e-19				
2.05605	9.28735e-19				
2.06748	2.28799e-18				
2.14933	2.76624e-18				
2.27191	2.1308e-18				
2.36186	1.04571e-18				
2.42827	4.89414e-19				
2.48275	1.68261e-19				
2.49656	6.66988e-20				
2.52441	9.99483e-21				
2.71315	1.02348e-20				
2.89988	2.29311e-20				
2.94854	5.13773e-20				
2.99801	1.04688e-19				
3.08232	5.51675e-20				
3.42489	1.60463e-19				
3.46309	3.26968e-19				
3.70143	5.25519e-19				
4.02256	6.9862e-19				
4.25198	3.76989e-19				
4.46962	2.97363e-19				
4.54462	6.35366e-19				
4.59531	1.42354e-18				
4.96636	2.18195e-18				
5.42725	1.89244e-18				
5.48779	1.26429e-18				
5.73678	1.35756e-18				
5.86548	9.73869e-19				
6.09769	1.42354e-18				
6.26916	1.56526e-18				
6.26916	2.28799e-18				
6.40981	1.60284e-18				
6.77538	1.72109e-18				
6.77538	2.51578e-18				
7.00465	2.57617e-18				
7.00465	3.18943e-18				
7.28197	4.3418e-18				
7.6547	6.19776e-18				
8.00201	6.05242e-18				
8.09127	8.63961e-18				
8.55273	9.9614e-18				
9.14137	1.04455e-17				
9.4507	1.04455e-17				
9.55612	5.00606e-18				
9.71647	4.5528e-18				
9.9897	6.19776e-18				
10.1573	1.06963e-17				
11.2238	1.04455e-17				
12.4022	9.49974e-18				
12.8932	6.97839e-18				
13.4036	7.14597e-18				
13.5531	4.77405e-18				
14.168	3.67739e-18				
14.6475	3.34443e-18				
14.9761	4.24001e-18				
15.4829	4.24001e-18				
15.8302	3.04164e-18				
16.1853	3.42474e-18				
17.0138	3.50696e-18				
17.0138	4.44606e-18				
18.0842	4.77405e-18				
19.4363	3.94868e-18				
21.24	3.18943e-18				
23.6006	2.34293e-18				
24.9466	2.34293e-18				
